postcode,electorate
0800,Solomon
0810,Solomon
0812,Solomon
0820,Lingiari
0820,Solomon
0822,Lingiari
0828,Lingiari
0828,Solomon
0829,Lingiari
0829,Solomon
0830,Lingiari
0830,Solomon
0832,Lingiari
0832,Solomon
0834,Lingiari
0835,Lingiari
0836,Lingiari
0837,Lingiari
0838,Lingiari
0839,Lingiari
0840,Lingiari
0841,Lingiari
0845,Lingiari
0846,Lingiari
0847,Lingiari
0850,Lingiari
0852,Lingiari
0853,Lingiari
0854,Lingiari
0860,Lingiari
0862,Lingiari
0870,Lingiari
0872,Lingiari
0875,Lingiari
0880,Lingiari
0885,Lingiari
0886,Lingiari
2000,Grayndler
2000,Sydney
2007,Sydney
2008,Sydney
2009,Sydney
2010,Sydney
2010,Wentworth
2011,Sydney
2011,Wentworth
2015,Sydney
2016,Sydney
2017,Sydney
2018,Kingsford Smith
2018,Sydney
2019,Kingsford Smith
2020,Kingsford Smith
2021,Wentworth
2022,Wentworth
2023,Wentworth
2024,Wentworth
2025,Wentworth
2026,Wentworth
2027,Wentworth
2028,Wentworth
2029,Wentworth
2030,Wentworth
2031,Kingsford Smith
2031,Wentworth
2032,Kingsford Smith
2033,Kingsford Smith
2034,Kingsford Smith
2035,Kingsford Smith
2036,Kingsford Smith
2037,Sydney
2038,Grayndler
2038,Sydney
2039,Grayndler
2040,Grayndler
2041,Grayndler
2042,Grayndler
2042,Sydney
2043,Sydney
2044,Barton
2044,Grayndler
2044,Sydney
2045,Grayndler
2046,Reid
2047,Grayndler
2047,Reid
2048,Grayndler
2048,Sydney
2049,Grayndler
2050,Grayndler
2050,Sydney
2060,North Sydney
2061,North Sydney
2062,North Sydney
2063,North Sydney
2064,North Sydney
2065,North Sydney
2066,North Sydney
2067,Bennelong
2067,Bradfield
2067,North Sydney
2068,North Sydney
2069,Bradfield
2070,Bradfield
2071,Bradfield
2072,Bradfield
2073,Bradfield
2074,Bradfield
2075,Bradfield
2076,Berowra
2076,Bradfield
2077,Berowra
2077,Bradfield
2079,Berowra
2079,Bradfield
2080,Berowra
2081,Berowra
2082,Berowra
2083,Berowra
2083,Robertson
2084,Mackellar
2085,Mackellar
2086,Mackellar
2086,Warringah
2087,Mackellar
2087,Warringah
2088,Warringah
2089,North Sydney
2089,Warringah
2090,North Sydney
2090,Warringah
2092,Warringah
2093,Warringah
2094,Warringah
2095,Warringah
2096,Warringah
2097,Mackellar
2099,Mackellar
2099,Warringah
2100,Mackellar
2100,Warringah
2101,Mackellar
2102,Mackellar
2103,Mackellar
2104,Mackellar
2105,Mackellar
2106,Mackellar
2107,Mackellar
2108,Mackellar
2110,North Sydney
2111,Bennelong
2111,North Sydney
2112,Bennelong
2113,Bennelong
2114,Bennelong
2115,Bennelong
2115,Parramatta
2116,Parramatta
2117,Bennelong
2117,Parramatta
2118,Bennelong
2118,Berowra
2118,Parramatta
2119,Bennelong
2119,Berowra
2120,Berowra
2121,Bennelong
2122,Bennelong
2125,Berowra
2125,Mitchell
2126,Berowra
2127,Reid
2128,Reid
2130,Grayndler
2130,Watson
2131,Grayndler
2131,Reid
2131,Watson
2132,Reid
2132,Watson
2133,Watson
2134,Reid
2135,Reid
2136,Watson
2137,Reid
2138,Reid
2140,Reid
2141,Blaxland
2141,Reid
2141,Watson
2142,Blaxland
2142,Parramatta
2143,Blaxland
2144,Blaxland
2144,Reid
2145,Greenway
2145,McMahon
2145,Parramatta
2146,Greenway
2146,Mitchell
2146,Parramatta
2147,Greenway
2148,Chifley
2148,Greenway
2148,McMahon
2150,Parramatta
2151,Mitchell
2151,Parramatta
2152,Mitchell
2152,Parramatta
2153,Mitchell
2154,Berowra
2154,Mitchell
2155,Greenway
2155,Mitchell
2156,Berowra
2156,Mitchell
2157,Berowra
2158,Berowra
2159,Berowra
2160,McMahon
2160,Parramatta
2161,Blaxland
2161,McMahon
2161,Parramatta
2162,Blaxland
2163,Blaxland
2163,Fowler
2164,McMahon
2165,Fowler
2165,McMahon
2166,Fowler
2166,McMahon
2167,Werriwa
2168,Werriwa
2170,Fowler
2170,Hughes
2170,Werriwa
2171,Werriwa
2172,Hughes
2173,Hughes
2174,Hughes
2174,Werriwa
2175,McMahon
2176,Fowler
2176,McMahon
2177,Fowler
2177,Werriwa
2178,McMahon
2178,Werriwa
2179,Macarthur
2179,Werriwa
2190,Watson
2191,Watson
2192,Barton
2192,Watson
2193,Barton
2193,Grayndler
2193,Watson
2194,Barton
2194,Watson
2195,Watson
2196,Watson
2197,Blaxland
2198,Blaxland
2199,Blaxland
2199,Watson
2200,Blaxland
2200,Watson
2203,Barton
2203,Grayndler
2204,Barton
2204,Grayndler
2205,Barton
2206,Barton
2207,Barton
2208,Barton
2208,Watson
2209,Banks
2209,Barton
2209,Watson
2210,Banks
2210,Watson
2211,Banks
2211,Blaxland
2211,Watson
2212,Banks
2212,Blaxland
2213,Banks
2214,Banks
2214,Blaxland
2216,Barton
2217,Barton
2217,Cook
2218,Banks
2218,Barton
2219,Cook
2220,Banks
2220,Barton
2221,Banks
2221,Cook
2222,Banks
2222,Barton
2223,Banks
2224,Cook
2224,Hughes
2225,Hughes
2226,Hughes
2227,Cook
2227,Hughes
2228,Cook
2229,Cook
2230,Cook
2230,Hughes
2231,Cook
2232,Cunningham
2232,Hughes
2233,Hughes
2234,Hughes
2250,Dobell
2250,Hunter
2250,Robertson
2251,Robertson
2256,Robertson
2257,Robertson
2258,Dobell
2259,Dobell
2259,Shortland
2260,Dobell
2260,Robertson
2261,Dobell
2262,Dobell
2262,Shortland
2263,Dobell
2264,Hunter
2265,Hunter
2267,Hunter
2278,Hunter
2280,Shortland
2281,Shortland
2282,Shortland
2283,Hunter
2284,Hunter
2284,Shortland
